id,rnpa,marca,nombreFantasia,denominacionventa,TipoProducto,Estado,activo,fecha_alta,fecha_baja,tipo_cambio,fecha_cambio
50737,14024626,GABY MACHEL,CHUTNEY DE MANGO Y TOMATES SECOS. LIBRE DE GLUTEN. SIN T.A.C.C.,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50738,14024621,GABY MACHEL,"CHUTNEY DE MANGO, SEMILLAS DE MOSTAZA Y VAINILLA - LIBRE DE GLUTEN",CHUTNEY - LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
50740,14024622,GABY MACHEL,CHUTNEY PICANTE. LIBRE DE GLUTEN. SIN T.A.C.C,CHUTNEY. LIBRE DE GLUTEN. SIN T.A.C.C.,"SALSAS, ADEREZOS Y ALIÑOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
52342,02-555277,LA SERENÍSIMA - CREMÓN,QUESO CREMÓN DOBLE CREMA,QUESO DE ALTA HUMEDAD DOBLE CREMA - LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
52732,02-570232,BENOT,NO REGISTRA,BARRA DE CHOCOLATE SEMIAMARGO DIETÉTICO MODIFICADA EN SU COMPOSICIÓN GLUCÍDICA SIN AZÚCAR AGREGADA - LIBRE DE GLUTEN SIN TACC,CHOCOLATES,VIGENTE,Sí,2025-07-26,2025-08-04,,
56717,21-104134,NANI,NO REGISTRA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR NARANJA FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56718,21-044106,ARO,NO REGISTRA,JARDINERA SUPERCONGELADA. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
56729,21-104849,NANI,"MOSTACHOLES, TIRABUZONES, CODITOS, CARACOLITOS, DEDALITOS, MACARRONES, TUBITOS, NIDOS, CABELLO DE ÁNGEL, SOPERO","FIDEOS SECOS DE HARINA DE ARROZ Y ALMIDÓN DE MAÍZ CON HUEVO FORTIFICADOS CON VITAMINAS DEL GRUPO B, ZINC Y VITAMINA A LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,,
56739,21-104369,LA PAULINA,QUESO UNTABLE POR SALUT LIGHT,QUESO POR SALUT MAGRO FUNDIDO UNTABLE LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56760,21-098470,TREMBLAY,LIGHT,QUESO POR SALUT FUNDIDO PARA UNTAR REDUCIDO EN GRASAS LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56765,21-098439,VALLE DEL CARMEN,NO REGISTRA,QUESO CREMOSO LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56766,21-098441,VALLE DEL CARMEN,NO REGISTRA,QUESO PATEGRÁS LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56768,21-098440,VALLE DEL CARMEN,NO REGISTRA,QUESO TYBO LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56845,21-104143,NANI,NANITA’S SNACKS,"GALLETITAS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR JAMÓN SERRANO FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56846,21-104144,NANI,NANITA’S SNACKS,"GALLETITAS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR PIZZA FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56847,21-104142,NANI,NANITA’S SNACKS,"GALLETITAS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR QUESO FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56848,21-104259,NANI,NANITO’S EXTRUDADO,"EXTRUDADO A BASE DE HARINA DE ARROZ Y HARINA DE MAÍZ CON AGREGADO DE ZINC Y VITAMINAS A, B1, B2, B3, B5, B6, B9, B12, SABOR JAMÓN SERRANO, LIBRE DE GLUTEN",SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56850,21-104249,NANI,NANITO’S SNACKS EXTRUDADOS,"EXTRUDADO A BASE DE HARINA DE ARROZ Y HARINA DE MAÍZ CON AGREGADO DE ZINC Y VITAMINAS A, B1,B2, B3, B5, B6, B9, B12, SABOR QUESO LIBRE DE GLUTEN",SNACKS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56866,21-104145,BODYKEY,NO REGISTRA,"SUPLEMENTO DIETARIO A BASE DE L-CARNITINA, GARCINIA CAMBOGIA Y CAFÉ VERDE LIBRE DE GLUTEN",SUPLEMENTOS DIETARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56908,21-104223,NATURAL PREVENTION,CHLOROPHYLL,"SUPLEMENTO DIETARIO A BASE DE ALFALFA, COBRE Y VITAMINA E - LIBRE DE GLUTEN",SUPLEMENTOS DIETARIOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
56960,21-000903,CACHAMATE,CACHAMATE CON MEZCLA DE HIERBAS,YERBA MATE CON MEZCLA DE HIERBAS AROMÁTICAS. LIBRE DE GLUTEN,YERBA MATE Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,,
56970,21-021817,CBSÉ,CBSÉ HIERBAS SERRANAS,YERBA MATE CON PALO COMPUESTA CON HIERBAS SERRANAS LIBRE DE GLUTEN. SIN TACC,YERBA MATE Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,,
56972,21-031872,CBSÉ,CBSÉ MIEL,YERBA MATE DIETÉTICA ELABORADA CON PALO ENDULZADA SABORIZADA CON MIEL. LIBRE DE GLUTEN,YERBA MATE Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,,
56973,21-029435,CBSÉ,CBSÉ POMELO,YERBA MATE ELABORADA AROMATIZADA CON POMELO. LIBRE DE GLUTEN.,YERBA MATE Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,,
57087,21-099259,VALLE DEL CARMEN,NO REGISTRA,YOGUR ENTERO BEBIBLE ENDULZADO SABOR A FRUTILLA LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,,
57088,21-099261,VALLE DEL CARMEN,NO REGISTRA,YOGUR ENTERO BEBIBLE ENDULZADO SABOR A VAINILLA LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,,
57089,21-099258,VALLE DEL CARMEN,NO REGISTRA,YOGUR ENTERO ENDULZADO BEBIBLE SABOR A DURAZNO LIBRE DE GLUTEN,YOGURES,VIGENTE,Sí,2025-07-26,2025-08-04,,
57242,21-104041,TRINI,NO REGISTRA,"POLVO PARA PREPARAR POSTRE DIETÉTICO SABOR CHOCOLATE, CON AGREGADO DE VITAMINA C, HIERRO, VITAMINA E, ZINC, VITAMINA A, VITAMINA B2, ACIDO FÓLICO Y VITAMINA B12. LIBRE DE GLUTEN","POLVOS PARA PREPARAR FLANES, POSTRES CREMOSOS Y SIMILARES",VIGENTE,Sí,2025-07-26,2025-08-04,,
57244,21-104042,TRINI,NO REGISTRA,"POLVO PARA PREPARAR POSTRE DIETÉTICO SABOR VAINILLA, CON AGREGADO DE VITAMINA C, HIERRO, VITAMINA E, ZINC, VITAMINA A, VITAMINA B2, ACIDO FÓLICO Y VITAMINA B12. LIBRE DE GLUTEN","POLVOS PARA PREPARAR FLANES, POSTRES CREMOSOS Y SIMILARES",VIGENTE,Sí,2025-07-26,2025-08-04,,
57382,21-104510,LA ANÓNIMA,QUESO CREMA LIGHT,QUESO CREMA REDUCIDO EN GRASAS LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57389,21-104393,LA PAULINA,NO REGISTRA,QUESO FUNDIDO UNTABLE CON FONTINA LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57391,21-104265,LA PAULINA,QUESO MOZZARELLA SANDWICH,QUESO MOZZARELLA LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57402,21-044898,LA PAULINA,NO REGISTRA,QUESO FUNDIDO PARA UNTAR CLÁSICO LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57405,21-044900,LA PAULINA,NO REGISTRA,QUESO FUNDIDO UNTABLE SABOR JAMÓN LIBRE DE GLUTEN SIN TACC,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57410,21-104256,LA PAULINA,NO REGISTRA,QUESO GOYA LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57419,21-104370,LA PAULINA,QUESO UNTABLE CON QUESO AZUL,QUESO POR SALUT FUNDIDO PARA UNTAR CON QUESO AZUL LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57474,21-104755,MILKAUT,NO REGISTRA,QUESO PROCESADO PARA UNTAR CON QUESO CHEDDAR - LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57484,21-000637,MILKAUT,NO REGISTRA,QUESO PATEGRÁS. LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57489,21-000754,MILKAUT,NO REGISTRA,QUESO SARDO. LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57492,21-015935,MOLFINO,NO REGISTRA,QUESO MOZZARELLA LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57536,21-099416,RICOLACT,NO REGISTRA,QUESO POR SALUT MAGRO SIN SAL AGREGADA LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57591,21-047794,SANCOR,NO REGISTRA,QUESO PRATO LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57687,21-099525,VALLE DEL CARMEN,NO REGISTRA,DULCE DE LECHE PASTELERO LIBRE DE GLUTEN,DULCE DE LECHE,VIGENTE,Sí,2025-07-26,2025-08-04,,
57749,21-104102,NANI,NO REGISTRA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR CHOCOLATE FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57750,21-104132,NANI,NO REGISTRA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR COCO FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57751,21-104133,NANI,NO REGISTRA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR VAINILLA FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57752,21-104316,NANI,GALLETITIAS DULCES RELLENAS SABOR VAINILLA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ RELLENAS CON CREMA SABOR VAINILLA FORTIFICADAS CON VITAMINAS B1, B2, B3, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57753,21-104317,NANI,NO REGISTRA,"GALLETITAS DULCES A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ SABOR LIMÓN FORTIFICADAS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57754,21-104318,NANI,GALLETITAS CRACKERS,"GALLETITAS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ FORTIFICADAS CON VITAMINAS B1,B2, B3, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57755,21-104320,NANI,BIZCOCHOS AZUCARADOS,"BIZCOCHOS AZUCARADOS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ FORTIFICADOS CON VITAMINAS A, B1, B2, B3, B5, B6, B9, B12 Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57756,21-104319,NANI,BIZOCHOS SALADOS,"BIZCOCHOS SALADOS A BASE DE ALMIDÓN DE MAÍZ Y HARINA DE ARROZ FORTIFICADOS CON VITAMINAS B1, B2, B3, B5, B6, B9, B12, A Y ZINC LIBRE DE GLUTEN",GALLETITAS Y BIZCOCHOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
57789,21-044107,ARO,NO REGISTRA,ACELGA SUPERCONGELADA. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57790,21-044109,ARO,NO REGISTRA,ESPINACA SUPERCONGELADA. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57791,21-044207,ARO,NO REGISTRA,CHAUCHAS TROZADAS SUPERCONGELADAS. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57792,21-044209,ARO,NO REGISTRA,ENSALADA PRIMAVERA SUPERCONGELADA. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57793,21-044210,ARO,NO REGISTRA,ARVEJAS VERDES SUPERCONGELADAS. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57794,21-044212,ARO,NO REGISTRA,CHOCLO DESGRANADO AMARILLO SUPERCONGELADO. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57795,21-044213,ARO,NO REGISTRA,COLIFLOR SUPERCONGELADO. LIBRE DE GLUTEN,"VEGETALES (FRUTAS, HORTALIZAS, FRUTAS SECAS, VERDURAS Y LEGUMBRES) PROCESADOS",VIGENTE,Sí,2025-07-26,2025-08-04,,
57940,21-001350,MILKAUT,NO REGISTRA,LECHE DESCREMADA EN POLVO LIBRE DE GLUTEN,LECHE EN POLVO,VIGENTE,Sí,2025-07-26,2025-08-04,,
58035,21-098566,TREMBLAY,NO REGISTRA,QUESO CHEDAR FUNDIDO PARA UNTAR LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
58040,21-098565,TREMBLAY,NO REGISTRA,QUESO FUNDIDO PARA UNTAR CON JAMÓN LIBRE DE GLUTEN,QUESOS,VIGENTE,Sí,2025-07-26,2025-08-04,,
58064,21-104899,TREGAR,CHOCOLATADA,"ALIMENTO LÁCTEO A BASE DE LECHE CHOCOLATADA PARCIALMENTE DESCREMADA, HOMOGENEIZADA, UAT. LIBRE DE GLUTEN",LECHES FLUIDAS,VIGENTE,Sí,2025-07-26,2025-08-04,,
58182,21-045022,ALDANA,NO REGISTRA,"PAN RALLADO DE ARROZ, MAÍZ Y MANDIOCA - LIBRE DE GLUTEN",PAN Y PRODUCTOS DE PANADERÍA Y REPOSTERÍA,VIGENTE,Sí,2025-07-26,2025-08-04,,
58225,21-104826,NANI,MOSTACHOLES-TIRABUZONES-CODITOS-CARACOLITOS-DEDALITOS-MACARRONES-TUBITOS-NIDOS-CABELLO DE ÁNGEL-SOPEROS,"FIDEOS SECOS DE HARINA DE MAÍZ FORTIFICADOS CON VITAMINAS DEL GRUPO B, ZINC Y VITAMINA A LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,,
58227,21-104838,NANI,"MOSTACHOLES, TIRABUZONES, CODITOS, CARACOLITOS, DEDALITOS, MACARRONES, TUBITOS, NIDOS, CABELLO DE ÁNGEL, SOPEROS","FIDEOS SECOS DE HARINA DE ARROZ Y ALMIDÓN DE MAÍZ FORTIFICADOS CON VITAMINAS DEL GRUPO B, ZINC Y VITAMINA A, LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,,
58228,21-104837,NANI,MOSTACHOLES-TIRABUZONES-CODITOS-CARACOLITOS-DEDALITOS-MACARRONES-TUBITOS-NIDOS-CABELLO DE ÁNGEL-SOPEROS,"FIDEOS SECOS DE HARINA DE ARROZ Y ALMIDÓN DE MAÍZ CON ESPINACA FORTIFICADOS CON VITAMINAS DEL GRUPO B, ZINC Y VITAMINA A LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,,
58229,21-104836,NANI,MOSTACHOLES-TIRABUZONES-CODITOS-CARACOLITOS-DEDALITOS-MACARRONES-TUBITOS-NIDOS-CABELLOS DE ÁNGEL-SOPEROS,"FIDEOS SECOS DE HARINA DE ARROZ Y ALMIDÓN DE MAÍZ CON MORRONES FORTIFICADOS CON VITAMINAS DEL GRUPO B, ZINC Y VITAMINA A LIBRE DE GLUTEN",PASTAS SECAS SIN RELLENO,VIGENTE,Sí,2025-07-26,2025-08-04,,
58307,21-104746,TRINI,CACAO CON STEVIA,"ALIMENTO DIETÉTICO EN POLVO A BASE DE CACAO DESGRASADO Y ENDULZADO CON GLICÓSIDOS DE STEVIOL CON AGREGADO DE VITAMINA C, HIERRO, VITAMINA E, ZINC, VITAMINA A, VITAMINA B2, ÁCIDO FÓLICO Y VITAMINA B12. LIBRE DE GLUTEN",CACAO Y AFINES,VIGENTE,Sí,2025-07-26,2025-08-04,,
58407,21-099511,TARJETA NARANJA,NO REGISTRA,CARAMELO MASTICABLE SABOR FRUTAL LIBRE DE GLUTEN,"CARAMELOS, CHICLES Y PASTILLAS",VIGENTE,Sí,2025-07-26,2025-08-04,,
58675,21-104341,ATLAS,FRUTILLAS ENTERAS COMUNES,CONSERVA DE FRUTILLAS COMUNES. LIBRE DE GLUTEN,"CONSERVAS DE VEGETALES (FRUTAS, HORTALIZAS, VERDURAS Y LEGUMBRES)",VIGENTE,Sí,2025-07-26,2025-08-04,,
58700,21-104693,CARREFOUR,NO REGISTRA,PULPA DE FRUTILLAS PARA PREPARAR CÓCTELES LIBRE DE GLUTEN,"CONSERVAS DE VEGETALES (FRUTAS, HORTALIZAS, VERDURAS Y LEGUMBRES)",VIGENTE,Sí,2025-07-26,2025-08-04,,
58701,21-104694,CARREFOUR,NO REGISTRA,PULPA DE FRUTA PARA PREPARAR CÓCTELES SABOR MARACUYÁ LIBRE DE GLUTEN,"CONSERVAS DE VEGETALES (FRUTAS, HORTALIZAS, VERDURAS Y LEGUMBRES)",VIGENTE,Sí,2025-07-26,2025-08-04,,
58732,21-030037,FRANSAFÉ,NO REGISTRA,CREMA DE LECHE PASTEURIZADA. LIBRE DE GLUTEN,CREMA DE LECHE,VIGENTE,Sí,2025-07-26,2025-08-04,,
58735,21-104842,LA PAULINA,NO REGISTRA,CREMA DE LECHE PASTEURIZADA LIBRE DE GLUTEN,CREMA DE LECHE,VIGENTE,Sí,2025-07-26,2025-08-04,,
58763,21-043614,CARREFOUR TRADICIONAL,NO REGISTRA,DULCE DE LECHE AROMATIZADO CON VAINILLINA. LIBRE DE GLUTEN,DULCE DE LECHE,VIGENTE,Sí,2025-07-26,2025-08-04,,
58785,21-105069,LA PAULINA,NO REGISTRA,QUESO DURO TIPO PARMESANO PARA USO INDUSTRIAL EXCLUSIVO LIBRE DE GLUTEN,MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,,
58807,21-044537,MAPSA,NUTELLINA INDUSTRIAL,PRALINÉ DE AVELLANA. LIBRE DE GLUTEN,MATERIAS PRIMAS PARA LA INDUSTRIA ALIMENTARIA,VIGENTE,Sí,2025-07-26,2025-08-04,,
58926,21-099460,COCINERO,GIRASOL Y OLIVA,ACEITE COMESTIBLE MEZCLA LIBRE DE GLUTEN,ACEITES,VIGENTE,Sí,2025-07-26,2025-08-04,,
58967,21-104514,NANI,ALFAJOR CON DULCE DE LECHE Y BAÑO GLASE,"ALFAJOR A BASE DE HARINA DE ARROZ Y ALMIDÓN DE MAÍZ RELLENO CON DULCE DE LECHE, CON BAÑO GLASÉ, FORTIFICADO CON VITAMINAS A, B1, B2, B3, B5, B6, B9, B12 Y ZINC LIBRE DE GLUTEN",ALFAJORES,VIGENTE,Sí,2025-07-26,2025-08-04,,
58991,21-104442,NUTRILON PROFUTURA 1,NO REGISTRA,"FÓRMULA LÁCTEA UAT DE INICIO CON HIERRO, PARA LACTANTES LIBRE DE GLUTEN",FÓRMULAS PARA LACTANTES Y NIÑOS EN PRIMERA INFANCIA,VIGENTE,Sí,2025-07-26,2025-08-04,,
58992,21-104441,NUTRILON PROFUTURA 2,NO REGISTRA,"FÓRMULA LÁCTEA DE CONTINUACIÓN UAT CON HIERRO, PARA LACTANTES. LIBRE DE GLUTEN",FÓRMULAS PARA LACTANTES Y NIÑOS EN PRIMERA INFANCIA,VIGENTE,Sí,2025-07-26,2025-08-04,,
